Project Brief,موجز المشروع
Engineering Site Visit,زيارة موقع هندسية
Engineering Document,مستند هندسي
Design Submission,تقديم تصميم
Technical Review,مراجعة فنية
Project BOQ,جدول كميات المشروع
License Application,طلب ترخيص
Tender Package,حزمة مناقصة
Tender Evaluation,تقييم مناقصة
Site Inspection,تفتيش موقع
Contractor Progress Certificate,شهادة إنجاز مقاول
Project Handover,تسليم المشروع
Project Closure,إقفال المشروع
Engineering Management Settings,إعدادات الإدارة الهندسية
Engineering Management,الإدارة الهندسية
BOQ Item,بند جدول الكميات
Inspection Observation,ملاحظة تفتيش
Progress Certificate Line,بند شهادة الإنجاز
Technical Review Comment,ملاحظة مراجعة فنية
Engineering Document Revision,مراجعة مستند هندسي
Project,المشروع
Customer,العميل
Supplier,المورد
Series,التسلسل
Status,الحالة
Company,الشركة
Visit Date,تاريخ الزيارة
Purpose,الغرض
Attendees,الحضور
Observations,الملاحظات
Follow-up Actions,إجراءات المتابعة
Document No.,رقم المستند
Title,العنوان
Discipline,التخصص
Document Type,نوع المستند
Source / Origin,المصدر
Document Status,حالة المستند
Current Revision,المراجعة الحالية
Revision History,سجل المراجعات
Revision,المراجعة
Revision Date,تاريخ المراجعة
File,الملف
Issued By,أصدره
Reason for Revision,سبب المراجعة
Current,حالية
Superseded,ملغاة
Approved By,اعتمده
Approval Date,تاريخ الاعتماد
Submission Date,تاريخ التقديم
Sent to Client On,أُرسل للعميل في
Submitted Documents,المستندات المقدمة
Client Response,رد العميل
Client Comments,ملاحظات العميل
Review Date,تاريخ المراجعة
Review Result,نتيجة المراجعة
Comments,الملاحظات
Comment No.,رقم الملاحظة
Comment,الملاحظة
Severity,الخطورة
Mandatory,إلزامي
Responsible,المسؤول
Response,الرد
Closure Date,تاريخ الإغلاق
BOQ Date,تاريخ جدول الكميات
BOQ Items,بنود جدول الكميات
Item / Group,البند / المجموعة
Item,الصنف
Description,الوصف
UOM,وحدة القياس
Quantity,الكمية
Estimated Rate,السعر التقديري
Amount,المبلغ
Specification,المواصفة
Cost Code,رمز التكلفة
Total Estimated Amount,إجمالي المبلغ التقديري
Licensing Authority,جهة الترخيص
License Type,نوع الترخيص
Required Documents,المستندات المطلوبة
Document Name,اسم المستند
Received,مستلم
Validated,مدقق
Expiry,الانتهاء
Planned Submission Date,تاريخ التقديم المخطط
Actual Submission Date,تاريخ التقديم الفعلي
Issued License No.,رقم الرخصة الصادرة
License Expiry,انتهاء الرخصة
Tender Round,جولة المناقصة
Issue Date,تاريخ الطرح
Bid Deadline,موعد إغلاق العطاءات
Tender Scope / Description,نطاق المناقصة / الوصف
Contractor Shortlist,القائمة المختصرة للمقاولين
Contractors,المقاولون
Supplier / Contractor,المورد / المقاول
Specialty,التخصص
Invited,مدعو
Recommended,موصى به
Management Waiver Applied,تم تطبيق استثناء إداري
Waiver Reason,سبب الاستثناء
Awarded Contractor,المقاول المرسى عليه
Award Purchase Order,أمر الشراء للترسية
Technical Weight %,وزن التقييم الفني %
Commercial Weight %,وزن التقييم التجاري %
Evaluation Lines,بنود التقييم
Technical Score,الدرجة الفنية
Commercial Score,الدرجة التجارية
Weighted Total,الإجمالي الموزون
Rank,الترتيب
Recommended Contractor,المقاول الموصى به
Recommendation Notes,ملاحظات التوصية
Inspection Date,تاريخ التفتيش
Inspection Type,نوع التفتيش
Result,النتيجة
Observation,الملاحظة
Category,الفئة
Mandatory Rectification,معالجة إلزامية
Responsible Party,الجهة المسؤولة
Responsible Supplier,المورد المسؤول
Due Date,تاريخ الاستحقاق
Evidence,الدليل
Period From,الفترة من
Period To,الفترة إلى
Certificate Lines,بنود الشهادة
BOQ / PO Item,بند الكميات / أمر الشراء
Previous %,السابق %
Current %,الحالي %
Cumulative %,التراكمي %
Certified Quantity,الكمية المعتمدة
Certified Value,القيمة المعتمدة
Retention,المحتجز
Variation (Allow > 100%),أمر تغيير (يسمح بتجاوز 100%)
